Year,School,Conference,Coach, School Pay , Stadium Size ,Graduation Rate (GSR),Wins,Losses,Win Percentage
2018,Memphis,AAC,Mike Norvell," $2,600,000 "," 62,380 ", 73 , 8 , 5 ,
2018,Miami (Fla.),ACC,Mark Richt," $4,058,061 "," 65,000 ", 73 , -   , -   ,
2018,Miami (Ohio),MAC,Chuck Martin," $524,826 "," 24,286 ", 73 , -   , -   ,
2018,Michigan,Big Ten,Jim Harbaugh," $7,504,000 "," 107,601 ", 85 , 10 , 3 ,
2018,Michigan State,Big Ten,Mark Dantonio," $4,390,417 "," 75,005 ", 85 , 3 , 9 ,
2018,Middle Tennessee,CUSA,Rick Stockstill," $801,504 "," 30,788 ",,,,
2018,Minnesota,Big Ten,P.J. Fleck," $3,550,000 "," 52,525 ", 85 , 9 , 4 ,
2018,Mississippi,SEC,Matt Luke," $3,000,000 "," 60,580 ", 85 , -   , -   ,
2018,Mississippi State,SEC,Joe Moorhead," $2,600,000 "," 61,337 ", 85 , 6 , 7 ,
2018,Missouri,SEC,Barry Odom," $2,350,000 "," 71,168 ", 74 , 4 , 8 ,
2018,Navy,AAC,Ken Niumatalolo," $2,163,000 "," 34,000 ", 71 , 9 , 5 ,
2018,Nebraska,Big Ten,Scott Frost," $5,000,000 "," 87,091 ", 71 , 9 , 4 ,
2018,Nevada,Mt. West,Jay Norvell," $500,000 "," 30,000 ", 71 , 5 , 7 ,
2018,Nevada-Las Vegas,Mt. West,Tony Sanchez," $600,000 "," 65,000 ", 71 , 4 , 8 ,
2018,New Mexico,Mt. West,Bob Davie," $822,690 "," 39,224 ", 71 , 9 , 4 ,
2018,New Mexico State,Ind.,Doug Martin," $419,640 "," 30,343 ", 71 , 3 , 9 ,
2018,North Carolina,ACC,Larry Fedora," $2,575,000 "," 62,980 ", 59 , 8 , 5 ,
2018,North Carolina State,ACC,Dave Doeren," $3,000,000 "," 57,583 ", 66 , 7 , 6 ,
2018,North Texas,CUSA,Seth Littrell," $1,425,000 "," 30,850 ",,,,
2018,Northern Illinois,MAC,Rod Carey," $633,460 "," 10,000 ", 71 , 5 , 7 ,
2018,Northwestern,Big Ten,Pat Fitzgerald," $3,619,775 "," 47,130 ", 84 , 7 , 6 ,
2018,Notre Dame,Ind.,Brian Kelly," $2,129,638 "," 80,795 ", 99 , 4 , 8 ,
2018,Ohio,MAC,Frank Solich," $580,331 "," 24,000 ", 99 , 8 , 6 ,
2018,Ohio State,Big Ten,Urban Meyer," $7,600,000 "," 104,944 ", 99 , 11 , 2 ,
2018,Oklahoma,Big 12,Lincoln Riley," $4,800,000 "," 82,112 ", 74 , 11 , 2 ,
2018,Oklahoma State,Big 12,Mike Gundy," $5,000,000 "," 60,218 ", 74 , 10 , 3 ,
2018,Old Dominion,CUSA,Bobby Wilder," $654,667 "," 19,818 ",,,,
2018,Oregon,Pac-12,Mario Cristobal," $2,500,000 "," 54,000 ", 70 , 4 , 8 ,
2018,Oregon State,Pac-12,Jonathan Smith," $1,900,008 "," 45,674 ", 70 , 4 , 8 ,
2018,Penn State,Big Ten,James Franklin," $4,800,000 "," 106,572 ", 69 , 11 , 3 ,
2018,Pittsburgh,ACC,Pat Narduzzi," $3,017,718 "," 68,400 ", 84 , -   , -   ,
2018,Purdue,Big Ten,Jeff Brohm," $3,800,000 "," 56,400 ", 96 , 3 , 9 ,
2018,Rice,CUSA,Mike Bloomgren, $-   ," 70,000 ",,,,
2018,Rutgers,Big Ten,Chris Ash," $2,200,000 "," 52,454 ", 78 , 2 , 10 ,
2018,San Diego State,Mt. West,Rocky Long," $872,576 "," 70,561 ", 94 , 11 , 3 ,
2018,San Jose State,Mt. West,Brent Brennan," $590,424 "," 30,456 ", 76 , 4 , 8 ,
2018,South Alabama,Sun Belt,Steve Campbell," $600,000 "," 33,500 ", 40 , 6 , 7 ,
2018,South Carolina,SEC,Will Muschamp," $4,200,000 "," 80,250 ", 40 , 6 , 7 ,
2018,South Florida,AAC,Charlie Strong," $1,000,000 "," 65,890 ", 70 , 11 , 2 ,
2018,Southern California,Pac-12,Clay Helton," $2,625,965 "," 93,607 ", 63 , -   , -   ,
2018,Southern Methodist,AAC,Sonny Dykes, $-   ," 32,000 ", 75 , -   , -   ,
2018,Southern Mississippi,CUSA,Jay Hopson," $500,000 "," 36,000 ",,,,
2018,Stanford,Pac-12,David Shaw," $4,311,543 "," 50,000 ", 67 , 10 , 3 ,
2018,Syracuse,ACC,Dino Babers," $2,401,206 "," 49,250 ", 80 , 4 , 8 ,
2018,Tennessee,SEC,Jeremy Pruitt," $3,846,000 "," 102,455 ", 83 , 9 , 4 ,
2018,Texas,Big 12,Tom Herman," $5,500,000 "," 100,119 ", 77 , 5 , 7 ,
2018,Texas A&M,SEC,Jimbo Fisher," $7,500,000 "," 102,733 ", 77 , 8 , 5 ,
2018,Texas Christian,Big 12,Gary Patterson," $4,840,717 "," 50,000 ", 68 , 6 , 7 ,
2018,Texas State,Sun Belt,Everett Withers," $700,000 "," 30,000 ", 53 , 2 , 10 ,
2018,Texas Tech,Big 12,Kliff Kingsbury," $3,703,975 "," 60,862 ", 70 , 5 , 7 ,
2018,Texas-El Paso,CUSA,Dana Dimel," $700,000 "," 51,500 ",,,,
2018,Texas-San Antonio,CUSA,Frank Wilson," $1,100,000 "," 72,000 ",,,,
2018,Toledo,MAC,Jason Candle," $1,125,000 "," 26,248 ", 71 , 9 , 4 ,
2018,Troy,Sun Belt,Neal Brown," $810,000 "," 30,000 ", 67 , 10 , 3 ,
2018,Tulane,AAC,Willie Fritz," $1,629,000 "," 30,000 ", 68 , 4 , 8 ,
2018,Tulsa,AAC,Philip Montgomery," $1,518,177 "," 35,542 ", 84 , 10 , 3 ,
2018,UCLA,Pac-12,Chip Kelly," $3,300,000 "," 92,542 ", 79 , 4 , 8 ,
2018,Utah,Pac-12,Kyle Whittingham," $3,787,917 "," 45,017 ", 78 , 9 , 4 ,
2018,Utah State,Mt. West,Matt Wells," $900,000 "," 25,513 ", 78 , 3 , 9 ,
2018,Vanderbilt,SEC,Derek Mason," $2,812,523 "," 40,350 ", 68 , 6 , 7 ,
2018,Virginia,ACC,Bronco Mendenhall," $3,550,000 "," 61,500 ", 85 , 2 , 10 ,
2018,Virginia Tech,ACC,Justin Fuente," $4,000,000 "," 66,233 ", 86 , 10 , 4 ,
2018,Wake Forest,ACC,Dave Clawson," $1,831,580 "," 31,500 ", 78 , 7 , 6 ,
2018,Washington,Pac-12,Chris Petersen," $4,375,000 "," 70,500 ", 93 , 12 , 2 ,
2018,Washington State,Pac-12,Mike Leach," $3,500,000 "," 32,248 ", 93 , 8 , 5 ,
2018,West Virginia,Big 12,Dana Holgorsen," $3,605,000 "," 60,000 ", 66 , 10 , 3 ,
2018,Western Kentucky,CUSA,Mike Sanford Jr.," $800,000 "," 22,113 ",,,,
2018,Western Michigan,MAC,Tim Lester," $800,000 "," 30,200 ", 74 , 13 , 1 ,
2018,Wisconsin,Big Ten,Paul Chryst," $3,750,000 "," 80,321 ", 71 , 11 , 3 ,
2018,Wyoming,Mt. West,Craig Bohl," $1,412,000 "," 29,181 ", 97 , 8 , 6 ,
