,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,4.5,4.0,3.7,3.3,3.4,4.0,4.1,4.0,3.7,3.6,3.7,3.6
2020,4.1,3.8,5.5,14.0,13.0,11.6,11.1,8.1,9.4,8.0,7.9,7.6
2021,8.2,8.4,8.0,,,,,,,,,
