Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,3.9,3.5,3.3,2.9,2.9,3.5,3.6,3.5,3.2,3.1,3.1,2.9
2020,3.3,3.2,4.6,12.5,11.4,9.8,8.8,6.3,7.2,6.2,6.2,6.0
